"","Autofluorescence","CD16","CD14","DNAM1","CCR10","NKG2D","CD62L","LIVE DEAD Blue","CD4","CD25","CD45RA","CCR6","NKG2A","CD56","CD31","gdTCR","CD8","CCR4","CXCR3","FoxP3","CD3"
"AFNK",1,0.93,0,0.549,0,0.175,0.54,0,0,0,1,0,1,1,0.02,0,0.14,0,0.0839,0,0
"AFNK.1",1,0.93,0,0.549,0,0.175,0.54,0,0,0,1,0,1,1,0.02,0,0.14,0,0.0839,0,0
"AFNK.2",1,0.93,0,0.549,0,0.175,0.54,0,0,0,1,0,1,1,0.02,0,0.14,0,0.0839,0,0
"AFNK.3",1,0.93,0,0.549,0,0.175,0.54,0,0,0,1,0,1,1,0.02,0,0.14,0,0.0839,0,0
"AFNK.4",1,0.93,0,0.549,0,0.175,0.54,0,0,0,1,0,1,1,0.02,0,0.14,0,0.0839,0,0
"AFNK.5",1,0.93,0,0.549,0,0.175,0.54,0,0,0,1,0,1,1,0.02,0,0.14,0,0.0839,0,0
"AFNK.6",1,0.93,0,0.549,0,0.175,0.54,0,0,0,1,0,1,1,0.02,0,0.14,0,0.0839,0,0
"AFNK.7",1,0.93,0,0.549,0,0.175,0.54,0,0,0,1,0,1,1,0.02,0,0.14,0,0.0839,0,0
"AFNK.8",1,0.93,0,0.549,0,0.175,0.54,0,0,0,1,0,1,1,0.02,0,0.14,0,0.0839,0,0
"AFNK.9",1,0.93,0,0.549,0,0.175,0.54,0,0,0,1,0,1,1,0.02,0,0.14,0,0.0839,0,0
"AFNK.10",1,0.93,0,0.549,0,0.175,0.54,0,0,0,1,0,1,1,0.02,0,0.14,0,0.0839,0,0
"AFNK.11",1,0.93,0,0.549,0,0.175,0.54,0,0,0,1,0,1,1,0.02,0,0.14,0,0.0839,0,0
"AFNK.12",1,0.93,0,0.549,0,0.175,0.54,0,0,0,1,0,1,1,0.02,0,0.14,0,0.0839,0,0
"AFNK.13",1,0.93,0,0.549,0,0.175,0.54,0,0,0,1,0,1,1,0.02,0,0.14,0,0.0839,0,0
"AFNK.14",1,0.93,0,0.549,0,0.175,0.54,0,0,0,1,0,1,1,0.02,0,0.14,0,0.0839,0,0
"AFNK.15",1,0.93,0,0.549,0,0.175,0.54,0,0,0,1,0,1,1,0.02,0,0.14,0,0.0839,0,0
"AFNK T",1,0,0,0.73,0.01,0,0,0,0.162,0.0277,0.475,0.332,0.04,1,0.19,0,0.752,0,0.26,0,1
"AFNK T.1",1,0,0,0.73,0.01,0,0,0,0.162,0.0277,0.475,0.332,0.04,1,0.19,0,0.752,0,0.26,0,1
"AFNK T.2",1,0,0,0.73,0.01,0,0,0,0.162,0.0277,0.475,0.332,0.04,1,0.19,0,0.752,0,0.26,0,1
"AFNK T.3",1,0,0,0.73,0.01,0,0,0,0.162,0.0277,0.475,0.332,0.04,1,0.19,0,0.752,0,0.26,0,1
"AFNK T.4",1,0,0,0.73,0.01,0,0,0,0.162,0.0277,0.475,0.332,0.04,1,0.19,0,0.752,0,0.26,0,1
"AFNK T.5",1,0,0,0.73,0.01,0,0,0,0.162,0.0277,0.475,0.332,0.04,1,0.19,0,0.752,0,0.26,0,1
"AFNK T.6",1,0,0,0.73,0.01,0,0,0,0.162,0.0277,0.475,0.332,0.04,1,0.19,0,0.752,0,0.26,0,1
"AFNK T.7",1,0,0,0.73,0.01,0,0,0,0.162,0.0277,0.475,0.332,0.04,1,0.19,0,0.752,0,0.26,0,1
"Thelperresting",1,0,0,0,0,0,1,0,1,0,1,0,0,0,0.64,0,0,0,0,0,1
"Thelperresting.1",1,0,0,0,0,0,1,0,1,0,1,0,0,0,0.64,0,0,0,0,0,1
"Thelperresting.2",1,0,0,0,0,0,1,0,1,0,1,0,0,0,0.64,0,0,0,0,0,1
"Thelperresting.3",1,0,0,0,0,0,1,0,1,0,1,0,0,0,0.64,0,0,0,0,0,1
"Thelperresting.4",1,0,0,0,0,0,1,0,1,0,1,0,0,0,0.64,0,0,0,0,0,1
"Thelperresting.5",1,0,0,0,0,0,1,0,1,0,1,0,0,0,0.64,0,0,0,0,0,1
"Thelperresting.6",1,0,0,0,0,0,1,0,1,0,1,0,0,0,0.64,0,0,0,0,0,1
"Thelperresting.7",1,0,0,0,0,0,1,0,1,0,1,0,0,0,0.64,0,0,0,0,0,1
"Thelperresting.8",1,0,0,0,0,0,1,0,1,0,1,0,0,0,0.64,0,0,0,0,0,1
"Thelperresting.9",1,0,0,0,0,0,1,0,1,0,1,0,0,0,0.64,0,0,0,0,0,1
"Thelpereffector",1,0,0,0.18,0.014,0,0.78,0,1,0.08,0.0387,0.28,0,0,0.07,0,0,0,0.0955,0,1
"Thelpereffector.1",1,0,0,0.18,0.014,0,0.78,0,1,0.08,0.0387,0.28,0,0,0.07,0,0,0,0.0955,0,1
