"","Autofluorescence","CD16","CD14","DNAM1","CCR10","NKG2D","CD62L","LIVE DEAD Blue","CD4","CD25","CD45RA","CCR6","NKG2A","CD56","CD31","gdTCR","CD8","CCR4","CXCR3","FoxP3","CD3"
"AFNK",1,0.93,0,0.549,0,0.175,0.54,0,0,0,1,0,1,1,0.02,0,0.14,0,0.0839,0,0
"AFNK T",1,0,0,0.73,0.01,0,0,0,0.162,0.0277,0.475,0.332,0.04,1,0.19,0,0.752,0,0.26,0,1
"Thelperresting",1,0,0,0,0,0,1,0,1,0,1,0,0,0,0.64,0,0,0,0,0,1
"Thelpereffector",1,0,0,0.18,0.014,0,0.78,0,1,0.08,0.0387,0.28,0,0,0.07,0,0,0,0.0955,0,1
"Tregresting",1,0,0,0,0,0,1,0,1,1,1,0,0,0,0.68,0,0,0,0,1,1
"Tregeffector",1,0,0,0.18,0.1,0,0.96,0,1,1,0,0.26,0,0,0.1,0,0,0.087,0.03,1,1
"CD8naive",1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
"CD8mature",1,0,0,0.775,0.0264,0.28,0.32,0,0,0.076,1,0.126,0.0225,0,0.63,0,1,0,0.55,0,1
"Tgd",1,0,0,0.69,0,0.23,0.9,0,0,0.08,0.9,0.028,0.05,0.78,0.14,1,0.2,0,0.27,0,1
"baseNothing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
